,id,xPos,yPos,fitness,A,foodFlag,nestFlag,pRepeat,pTarget,pPhero,timeForFood,timeForNest,deadFlag,timestep
0,287,0,0,0.25,5,0,0,0.35901456879844024,0.4099383421956327,0.23104708900592708,0,0,False,0
0,293,0,0,0.35714285714285715,2,0,0,0.4152112714481014,0.316901340489813,0.2678873880620857,0,0,False,0
0,295,0,0,0.0,1,0,0,0.25778205789842334,0.6694450085977999,0.0727729335037769,0,0,False,0
0,296,0,0,0.25,5,0,0,0.35937908838221944,0.410354566401721,0.23026634521605954,0,0,False,0
0,297,0,0,0.0,1,0,0,0.24668737284340564,0.6794518827391282,0.07386074441746623,0,0,False,0
0,298,0,0,0.25,5,0,0,0.34550785373805093,0.41857647983627383,0.23591566642567527,0,0,False,0
0,299,0,0,0.25,5,0,0,0.3610968810719202,0.41231601629443293,0.22658710263364684,0,0,False,0
0,300,0,0,0.25,5,0,0,0.36320059209359884,0.41471812440823985,0.2220812834981613,0,0,False,0
0,301,0,0,0.0,1,0,0,0.25730549084791926,0.6682073916906223,0.07448711746145843,0,0,False,0
0,302,0,0,0.25,5,0,0,0.36704349014101967,0.4048034942808738,0.2281530155781065,0,0,False,0
0,287,0,1,0.25,5,0,0,0.35901456879844024,0.4099383421956327,0.23104708900592708,0,0,False,1
0,293,1,0,0.35714285714285715,2,0,0,0.4152112714481014,0.316901340489813,0.2678873880620857,0,0,False,1
0,295,1,0,0.0,1,0,0,0.25778205789842334,0.6694450085977999,0.0727729335037769,0,0,False,1
0,296,1,0,0.25,5,0,0,0.35937908838221944,0.410354566401721,0.23026634521605954,0,0,False,1
0,297,1,0,0.0,1,0,0,0.24668737284340564,0.6794518827391282,0.07386074441746623,0,0,False,1
0,298,1,0,0.25,5,0,0,0.34550785373805093,0.41857647983627383,0.23591566642567527,0,0,False,1
0,299,1,0,0.25,5,0,0,0.3610968810719202,0.41231601629443293,0.22658710263364684,0,0,False,1
0,300,0,1,0.25,5,0,0,0.36320059209359884,0.41471812440823985,0.2220812834981613,0,0,False,1
0,301,0,1,0.0,1,0,0,0.25730549084791926,0.6682073916906223,0.07448711746145843,0,0,False,1
0,302,0,1,0.25,5,0,0,0.36704349014101967,0.4048034942808738,0.2281530155781065,0,0,False,1
0,287,0,2,0.25,5,0,0,0.35901456879844024,0.4099383421956327,0.23104708900592708,0,0,False,2
0,293,2,0,0.35714285714285715,2,0,0,0.4152112714481014,0.316901340489813,0.2678873880620857,0,0,False,2
0,295,2,0,0.0,1,0,0,0.25778205789842334,0.6694450085977999,0.0727729335037769,0,0,False,2
0,296,1,1,0.25,5,0,0,0.35937908838221944,0.410354566401721,0.23026634521605954,0,0,False,2
0,297,2,0,0.0,1,0,0,0.24668737284340564,0.6794518827391282,0.07386074441746623,0,0,False,2
0,298,2,0,0.25,5,0,0,0.34550785373805093,0.41857647983627383,0.23591566642567527,0,0,False,2
0,299,2,0,0.25,5,0,0,0.3610968810719202,0.41231601629443293,0.22658710263364684,0,0,False,2
0,300,0,2,0.25,5,0,0,0.36320059209359884,0.41471812440823985,0.2220812834981613,0,0,False,2
0,301,0,2,0.0,1,0,0,0.25730549084791926,0.6682073916906223,0.07448711746145843,0,0,False,2
0,302,0,2,0.25,5,0,0,0.36704349014101967,0.4048034942808738,0.2281530155781065,0,0,False,2
0,287,1,2,0.25,5,0,0,0.35901456879844024,0.4099383421956327,0.23104708900592708,0,0,False,3
0,293,2,1,0.35714285714285715,2,0,0,0.4152112714481014,0.316901340489813,0.2678873880620857,0,0,False,3
0,295,3,0,0.0,1,0,0,0.25778205789842334,0.6694450085977999,0.0727729335037769,0,0,False,3
0,296,0,1,0.25,5,0,0,0.35937908838221944,0.410354566401721,0.23026634521605954,0,0,False,3
0,297,2,1,0.0,1,0,0,0.24668737284340564,0.6794518827391282,0.07386074441746623,0,0,False,3
0,298,3,0,0.25,5,0,0,0.34550785373805093,0.41857647983627383,0.23591566642567527,0,0,False,3
0,299,2,1,0.25,5,0,0,0.3610968810719202,0.41231601629443293,0.22658710263364684,0,0,False,3
0,300,1,2,0.25,5,0,0,0.36320059209359884,0.41471812440823985,0.2220812834981613,0,0,False,3
0,301,0,3,0.0,1,0,0,0.25730549084791926,0.6682073916906223,0.07448711746145843,0,0,False,3
0,302,0,3,0.25,5,0,0,0.36704349014101967,0.4048034942808738,0.2281530155781065,0,0,False,3
0,287,1,1,0.25,5,0,0,0.35901456879844024,0.4099383421956327,0.23104708900592708,0,0,False,4
0,293,2,2,0.35714285714285715,2,0,0,0.4152112714481014,0.316901340489813,0.2678873880620857,0,0,False,4
0,295,4,0,0.0,1,0,0,0.25778205789842334,0.6694450085977999,0.0727729335037769,0,0,False,4
0,296,0,0,0.25,5,0,0,0.35937908838221944,0.410354566401721,0.23026634521605954,0,0,False,4
0,297,2,2,0.0,1,0,0,0.24668737284340564,0.6794518827391282,0.07386074441746623,0,0,False,4
0,298,3,1,0.25,5,0,0,0.34550785373805093,0.41857647983627383,0.23591566642567527,0,0,False,4
0,299,2,2,0.25,5,0,0,0.3610968810719202,0.41231601629443293,0.22658710263364684,0,0,False,4
0,300,2,2,0.25,5,0,0,0.36320059209359884,0.41471812440823985,0.2220812834981613,0,0,False,4
0,301,0,4,0.0,1,0,0,0.25730549084791926,0.6682073916906223,0.07448711746145843,0,0,False,4
0,302,1,3,0.25,5,0,0,0.36704349014101967,0.4048034942808738,0.2281530155781065,0,0,False,4
0,287,0,1,0.25,5,0,0,0.35901456879844024,0.4099383421956327,0.23104708900592708,0,0,False,5
0,293,1,2,0.35714285714285715,2,0,0,0.4152112714481014,0.316901340489813,0.2678873880620857,0,0,False,5
0,295,5,0,0.0,1,0,0,0.25778205789842334,0.6694450085977999,0.0727729335037769,0,0,False,5
0,296,1,0,0.25,5,0,0,0.35937908838221944,0.410354566401721,0.23026634521605954,0,0,False,5
0,297,2,3,0.0,1,0,0,0.24668737284340564,0.6794518827391282,0.07386074441746623,0,0,False,5
0,298,2,1,0.25,5,0,0,0.34550785373805093,0.41857647983627383,0.23591566642567527,0,0,False,5
0,299,3,2,0.25,5,0,0,0.3610968810719202,0.41231601629443293,0.22658710263364684,0,0,False,5
0,300,3,2,0.25,5,0,0,0.36320059209359884,0.41471812440823985,0.2220812834981613,0,0,False,5
0,301,0,5,0.0,1,0,0,0.25730549084791926,0.6682073916906223,0.07448711746145843,0,0,False,5
0,302,1,2,0.25,5,0,0,0.36704349014101967,0.4048034942808738,0.2281530155781065,0,0,False,5
0,287,0,2,0.25,5,0,0,0.35901456879844024,0.4099383421956327,0.23104708900592708,0,0,False,6
0,293,0,2,0.35714285714285715,2,0,0,0.4152112714481014,0.316901340489813,0.2678873880620857,0,0,False,6
0,295,6,0,0.0,1,0,0,0.25778205789842334,0.6694450085977999,0.0727729335037769,0,0,False,6
0,296,2,0,0.25,5,0,0,0.35937908838221944,0.410354566401721,0.23026634521605954,0,0,False,6
0,297,2,4,0.0,1,0,0,0.24668737284340564,0.6794518827391282,0.07386074441746623,0,0,False,6
0,298,2,0,0.25,5,0,0,0.34550785373805093,0.41857647983627383,0.23591566642567527,0,0,False,6
0,299,3,3,0.25,5,0,0,0.3610968810719202,0.41231601629443293,0.22658710263364684,0,0,False,6
0,300,4,2,0.25,5,0,0,0.36320059209359884,0.41471812440823985,0.2220812834981613,0,0,False,6
0,301,0,6,0.0,1,0,0,0.25730549084791926,0.6682073916906223,0.07448711746145843,0,0,False,6
0,302,1,1,0.25,5,0,0,0.36704349014101967,0.4048034942808738,0.2281530155781065,0,0,False,6
0,287,0,3,0.25,5,0,0,0.35901456879844024,0.4099383421956327,0.23104708900592708,0,0,False,7
0,293,0,1,0.35714285714285715,2,0,0,0.4152112714481014,0.316901340489813,0.2678873880620857,0,0,False,7
0,295,7,0,0.0,1,0,0,0.25778205789842334,0.6694450085977999,0.0727729335037769,0,0,False,7
0,296,2,1,0.25,5,0,0,0.35937908838221944,0.410354566401721,0.23026634521605954,0,0,False,7
0,297,2,5,0.0,1,0,0,0.24668737284340564,0.6794518827391282,0.07386074441746623,0,0,False,7
0,298,3,0,0.25,5,0,0,0.34550785373805093,0.41857647983627383,0.23591566642567527,0,0,False,7
0,299,2,3,0.25,5,0,0,0.3610968810719202,0.41231601629443293,0.22658710263364684,0,0,False,7
0,300,4,1,0.25,5,0,0,0.36320059209359884,0.41471812440823985,0.2220812834981613,0,0,False,7
0,301,0,7,0.0,1,0,0,0.25730549084791926,0.6682073916906223,0.07448711746145843,0,0,False,7
0,302,2,1,0.25,5,0,0,0.36704349014101967,0.4048034942808738,0.2281530155781065,0,0,False,7
0,287,0,4,0.25,5,0,0,0.35901456879844024,0.4099383421956327,0.23104708900592708,0,0,False,8
0,293,0,0,0.35714285714285715,2,0,0,0.4152112714481014,0.316901340489813,0.2678873880620857,0,0,False,8
0,295,8,0,0.0,1,0,0,0.25778205789842334,0.6694450085977999,0.0727729335037769,0,0,False,8
0,296,1,1,0.25,5,0,0,0.35937908838221944,0.410354566401721,0.23026634521605954,0,0,False,8
0,297,2,6,0.0,1,0,0,0.24668737284340564,0.6794518827391282,0.07386074441746623,0,0,False,8
0,298,3,1,0.25,5,0,0,0.34550785373805093,0.41857647983627383,0.23591566642567527,0,0,False,8
0,299,1,3,0.25,5,0,0,0.3610968810719202,0.41231601629443293,0.22658710263364684,0,0,False,8
0,300,3,1,0.25,5,0,0,0.36320059209359884,0.41471812440823985,0.2220812834981613,0,0,False,8
0,301,0,8,0.0,1,0,0,0.25730549084791926,0.6682073916906223,0.07448711746145843,0,0,False,8
0,302,2,0,0.25,5,0,0,0.36704349014101967,0.4048034942808738,0.2281530155781065,0,0,False,8
0,287,0,5,0.25,5,0,0,0.35901456879844024,0.4099383421956327,0.23104708900592708,0,0,False,9
0,293,1,0,0.35714285714285715,2,0,0,0.4152112714481014,0.316901340489813,0.2678873880620857,0,0,False,9
0,295,9,0,0.0,1,0,0,0.25778205789842334,0.6694450085977999,0.0727729335037769,0,0,False,9
0,296,1,2,0.25,5,0,0,0.35937908838221944,0.410354566401721,0.23026634521605954,0,0,False,9
0,297,3,6,0.0,1,0,0,0.24668737284340564,0.6794518827391282,0.07386074441746623,0,0,False,9
0,298,2,1,0.25,5,0,0,0.34550785373805093,0.41857647983627383,0.23591566642567527,0,0,False,9
0,299,1,2,0.25,5,0,0,0.3610968810719202,0.41231601629443293,0.22658710263364684,0,0,False,9
0,300,2,1,0.25,5,0,0,0.36320059209359884,0.41471812440823985,0.2220812834981613,0,0,False,9
0,301,0,9,0.0,1,0,0,0.25730549084791926,0.6682073916906223,0.07448711746145843,0,0,False,9
0,302,3,0,0.25,5,0,0,0.36704349014101967,0.4048034942808738,0.2281530155781065,0,0,False,9
0,287,1,5,0.25,5,0,0,0.35901456879844024,0.4099383421956327,0.23104708900592708,0,0,False,10
0,293,2,0,0.35714285714285715,2,0,0,0.4152112714481014,0.316901340489813,0.2678873880620857,0,0,False,10
0,295,10,0,0.0,1,0,0,0.25778205789842334,0.6694450085977999,0.0727729335037769,0,0,False,10
0,296,1,3,0.25,5,0,0,0.35937908838221944,0.410354566401721,0.23026634521605954,0,0,False,10
0,297,4,6,0.0,1,0,0,0.24668737284340564,0.6794518827391282,0.07386074441746623,0,0,False,10
0,298,1,1,0.25,5,0,0,0.34550785373805093,0.41857647983627383,0.23591566642567527,0,0,False,10
0,299,2,2,0.25,5,0,0,0.3610968810719202,0.41231601629443293,0.22658710263364684,0,0,False,10
0,300,2,2,0.25,5,0,0,0.36320059209359884,0.41471812440823985,0.2220812834981613,0,0,False,10
0,301,0,10,0.0,1,0,0,0.25730549084791926,0.6682073916906223,0.07448711746145843,0,0,False,10
0,302,4,0,0.25,5,0,0,0.36704349014101967,0.4048034942808738,0.2281530155781065,0,0,False,10
0,287,1,6,0.25,5,0,0,0.35901456879844024,0.4099383421956327,0.23104708900592708,0,0,False,11
0,293,3,0,0.35714285714285715,2,0,0,0.4152112714481014,0.316901340489813,0.2678873880620857,0,0,False,11
0,295,11,0,0.0,1,0,0,0.25778205789842334,0.6694450085977999,0.0727729335037769,0,0,False,11
0,296,0,3,0.25,5,0,0,0.35937908838221944,0.410354566401721,0.23026634521605954,0,0,False,11
0,297,5,6,0.0,1,0,0,0.24668737284340564,0.6794518827391282,0.07386074441746623,0,0,False,11
0,298,1,2,0.25,5,0,0,0.34550785373805093,0.41857647983627383,0.23591566642567527,0,0,False,11
0,299,2,1,0.25,5,0,0,0.3610968810719202,0.41231601629443293,0.22658710263364684,0,0,False,11
0,300,2,3,0.25,5,0,0,0.36320059209359884,0.41471812440823985,0.2220812834981613,0,0,False,11
0,301,0,11,0.0,1,0,0,0.25730549084791926,0.6682073916906223,0.07448711746145843,0,0,False,11
0,302,4,1,0.25,5,0,0,0.36704349014101967,0.4048034942808738,0.2281530155781065,0,0,False,11
0,287,0,6,0.25,5,0,0,0.35901456879844024,0.4099383421956327,0.23104708900592708,0,0,False,12
0,293,3,1,0.35714285714285715,2,0,0,0.4152112714481014,0.316901340489813,0.2678873880620857,0,0,False,12
0,295,12,0,0.0,1,0,0,0.25778205789842334,0.6694450085977999,0.0727729335037769,0,0,False,12
0,296,0,2,0.25,5,0,0,0.35937908838221944,0.410354566401721,0.23026634521605954,0,0,False,12
0,297,6,6,0.0,1,0,0,0.24668737284340564,0.6794518827391282,0.07386074441746623,0,0,False,12
0,298,2,2,0.25,5,0,0,0.34550785373805093,0.41857647983627383,0.23591566642567527,0,0,False,12
0,299,1,1,0.25,5,0,0,0.3610968810719202,0.41231601629443293,0.22658710263364684,0,0,False,12
0,300,1,3,0.25,5,0,0,0.36320059209359884,0.41471812440823985,0.2220812834981613,0,0,False,12
0,301,0,12,0.0,1,0,0,0.25730549084791926,0.6682073916906223,0.07448711746145843,0,0,False,12
0,302,3,1,0.25,5,0,0,0.36704349014101967,0.4048034942808738,0.2281530155781065,0,0,False,12
0,287,0,7,0.25,5,0,0,0.35901456879844024,0.4099383421956327,0.23104708900592708,0,0,False,13
0,293,3,2,0.35714285714285715,2,0,0,0.4152112714481014,0.316901340489813,0.2678873880620857,0,0,False,13
0,295,12,1,0.0,1,0,0,0.25778205789842334,0.6694450085977999,0.0727729335037769,0,0,False,13
0,296,1,2,0.25,5,0,0,0.35937908838221944,0.410354566401721,0.23026634521605954,0,0,False,13
0,297,7,6,0.0,1,0,0,0.24668737284340564,0.6794518827391282,0.07386074441746623,0,0,False,13
