,xPos, yPos, fitness, A, foodFlag,pVec0,pVec1,pVec2,t
1,1,1,0.4,3, False,0.01,0.7,0.8,0
2,1,56,0.7,5, False,0.01,0.7,0.8,0
3,52,34,0.2,3,TRUE,0.01,0.7,0.8,0
4,19,71,0.44,7, True,0.01,0.7,0.8,0
5,31,37,0.91,9, False,0.01,0.7,0.8,0
6,80,10,0.84,5, False,0.01,0.7,0.8,0
7,44,65,0.07,5, True,0.01,0.7,0.8,0
8,78,11,0.32,3, False,0.01,0.7,0.8,0
9,195,10,0.67,9, True,0.01,0.7,0.8,0
10,1,1,0.4,3, False,0.01,0.7,0.8,1
11,1,56,0.7,5, False,0.01,0.7,0.8,1
12,52,34,0.2,3,TRUE,0.01,0.7,0.8,1
13,19,71,0.44,7, True,0.01,0.7,0.8,1
14,31,37,0.91,9, False,0.01,0.7,0.8,1
15,81,9,0.84,7, True,0.01,0.7,0.8,1
16,45,64,0.07,3, True,0.01,0.7,0.8,1
17,79,12,0.32,3, False,0.01,0.7,0.8,1
18,97,11,0.67,9, True,0.01,0.7,0.8,1
19,5,5,0.4,3, False,0.01,0.7,0.8,2
20,15,58,0.7,3, False,0.01,0.7,0.8,2
21,53,33,0.2,4,TRUE,0.01,0.7,0.8,2
22,18,74,0.44,7, True,0.01,0.7,0.8,2
23,34,40,0.91,9, True,0.01,0.7,0.8,2
24,78,12,0.84,7, True,0.01,0.7,0.8,2
25,46,67,0.07,4, True,0.01,0.7,0.8,2
26,80,13,0.32,4, False,0.01,0.7,0.8,2
27,99,12,0.67,9, True,0.01,0.7,0.8,2
